FN (N/m)	AA (deg)	MS	LA (deg)	CA (deg)	TWD (mm)	BWD (mm)	SWD (mm)
5	-12	0.0109	1.91	98.85	4.63	5.93	9.3
6	-12	0.015	2.68	97.74	4.62	5.95	9.32
7	-12	0.0209	3.86	96.12	4.61	5.97	9.35
8	-12	0.028	5.27	94.23	4.59	6	9.37
9	-12	0.0364	6.98	92.07	4.56	6.03	9.4
10	-12	0.0424	8.19	90.74	4.53	6.04	9.42
12	-12	0.048	9.21	90.13	4.5	6.04	9.42
14	-12	0.0526	10.04	89.87	4.48	6.04	9.42
16	-12	0.058	11.03	89.56	4.45	6.04	9.42
18	-12	0.1026	21.04	78.73	4.1	6.01	9.39
20	-12	0.116	25.45	71.21	3.9	5.87	9.36
25	-12	0.1182	26.04	68.23	3.85	5.83	9.33
30	-12	0.1218	26.75	64.42	3.79	5.78	9.3
35	-12	0.1276	27.62	59.46	3.7	5.7	9.25
40	-12	0.1349	28.7	52.99	3.57	5.59	9.17
45	-12	0.1436	29.97	44.84	3.4	5.43	9.05
50	-12	0.1536	31.37	35.36	3.16	5.2	8.87
55	-12	0.165	32.79	25.47	2.87	4.93	8.65
60	-12	0.1762	34.09	16.57	2.58	4.66	8.41
5	-10	0.0171	3.2	95.29	4.56	5.83	9.08
6	-10	0.0236	4.49	93.56	4.54	5.85	9.11
7	-10	0.0308	5.93	91.7	4.51	5.87	9.13
8	-10	0.0361	6.97	90.54	4.49	5.88	9.14
9	-10	0.0392	7.55	90.16	4.47	5.88	9.14
10	-10	0.0411	7.86	90.06	4.46	5.88	9.14
12	-10	0.046	8.74	89.79	4.43	5.88	9.14
14	-10	0.0694	13.65	85.37	4.28	5.88	9.14
16	-10	0.1108	23.62	73.29	3.89	5.75	9.06
18	-10	0.1167	25.54	69.04	3.79	5.66	9.04
20	-10	0.1177	25.79	67.84	3.77	5.64	9.03
25	-10	0.1204	26.48	64.35	3.7	5.59	8.99
30	-10	0.125	27.31	59.93	3.62	5.52	8.94
35	-10	0.1315	28.28	54.33	3.51	5.42	8.87
40	-10	0.1394	29.48	47.21	3.35	5.27	8.76
45	-10	0.1483	30.77	38.9	3.14	5.08	8.61
50	-10	0.1582	32.13	29.67	2.89	4.84	8.41
55	-10	0.17	33.53	20.21	2.59	4.56	8.17
60	-10	0.1785	34.48	13.39	2.36	4.35	7.99
5	-8	0.0233	4.48	91.76	4.47	5.71	8.83
6	-8	0.0284	5.48	90.6	4.45	5.72	8.84
7	-8	0.0318	6.1	90.12	4.43	5.72	8.84
8	-8	0.0337	6.42	90.02	4.42	5.72	8.84
9	-8	0.0359	6.8	89.9	4.41	5.72	8.84
10	-8	0.0383	7.22	89.77	4.4	5.72	8.84
12	-8	0.0628	12.36	84.68	4.24	5.72	8.85
14	-8	0.0758	15.09	81.59	4.14	5.71	8.83
16	-8	0.115	25.13	68.79	3.7	5.48	8.7
18	-8	0.1182	25.84	65.86	3.65	5.43	8.68
20	-8	0.1194	26.13	64.49	3.62	5.41	8.67
25	-8	0.1227	26.92	60.5	3.54	5.34	8.62
30	-8	0.128	27.82	55.57	3.44	5.25	8.55
35	-8	0.1352	28.93	49.37	3.3	5.12	8.46
40	-8	0.1434	30.16	41.94	3.12	4.95	8.33
45	-8	0.1525	31.45	33.53	2.89	4.73	8.15
50	-8	0.1623	32.76	24.61	2.62	4.48	7.94
55	-8	0.173	33.96	16.19	2.35	4.22	7.7
60	-8	0.1813	34.9	10.19	2.15	4.03	7.53
5	-6	0.0238	4.57	90.1	4.4	5.57	8.55
6	-6	0.0258	4.9	89.99	4.39	5.57	8.55
7	-6	0.0281	5.28	89.88	4.38	5.57	8.55
8	-6	0.0305	5.7	89.73	4.37	5.57	8.55
9	-6	0.0339	6.33	89.36	4.35	5.57	8.55
10	-6	0.0553	11.02	84.08	4.2	5.56	8.56
12	-6	0.0725	14.81	79.7	4.07	5.52	8.53
14	-6	0.1133	24.71	67.78	3.62	5.29	8.38
16	-6	0.1184	25.82	64.13	3.54	5.22	8.34
18	-6	0.1197	26.13	62.7	3.51	5.19	8.32
20	-6	0.121	26.44	61.17	3.48	5.17	8.3
25	-6	0.1248	27.31	56.76	3.38	5.08	8.24
30	-6	0.131	28.34	51.28	3.26	4.97	8.15
35	-6	0.1386	29.51	44.65	3.09	4.81	8.04
40	-6	0.147	30.77	36.99	2.89	4.62	7.88
45	-6	0.1563	32.07	28.55	2.64	4.38	7.68
50	-6	0.166	33.29	20.05	2.37	4.13	7.46
55	-6	0.175	34.31	13.08	2.14	3.91	7.26
60	-6	0.1834	35.26	7.07	1.93	3.71	7.08
5	-4	0.0198	3.7	89.86	4.36	5.42	8.26
6	-4	0.0386	7.98	85.28	4.23	5.4	8.28
7	-4	0.0271	5.05	88.83	4.31	5.42	8.26
8	-4	0.0337	6.35	87.49	4.28	5.42	8.26
9	-4	0.0544	11.07	81.9	4.12	5.39	8.26
10	-4	0.0711	15.08	77.17	3.97	5.32	8.24
12	-4	0.1155	25.1	65.04	3.49	5.07	8.02
14	-4	0.1183	25.74	62.61	3.43	5.02	7.99
16	-4	0.1197	26.06	61.16	3.4	4.99	7.97
18	-4	0.1211	26.38	59.6	3.37	4.96	7.95
20	-4	0.1226	26.74	57.9	3.33	4.92	7.93
25	-4	0.1269	27.72	53.01	3.21	4.82	7.85
30	-4	0.1338	28.83	47.08	3.07	4.68	7.74
35	-4	0.1418	30.08	40.07	2.88	4.5	7.6
40	-4	0.1504	31.32	32.34	2.66	4.29	7.43
45	-4	0.1597	32.61	23.99	2.4	4.04	7.21
50	-4	0.1693	33.73	15.86	2.12	3.78	6.98
55	-4	0.1771	34.65	9.98	1.92	3.59	6.81
60	-4	0.1857	35.64	4.08	1.71	3.39	6.62
5	-2	0.0201	3.74	88.22	4.29	5.28	7.98
6	-2	0.0393	8.17	83.06	4.15	5.25	7.99
7	-2	0.0373	7.38	84.11	4.18	5.27	7.99
8	-2	0.0502	10.29	80.73	4.07	5.23	7.97
9	-2	0.0689	14.94	75.27	3.89	5.14	7.94
10	-2	0.0906	19.92	69.24	3.65	5.02	7.83
12	-2	0.118	25.6	61.29	3.33	4.82	7.65
14	-2	0.1194	25.94	59.8	3.3	4.79	7.63
16	-2	0.1209	26.28	58.21	3.26	4.75	7.6
18	-2	0.1225	26.66	56.48	3.22	4.72	7.58
20	-2	0.1242	27.05	54.61	3.17	4.67	7.55
25	-2	0.1291	28.12	49.29	3.04	4.55	7.45
30	-2	0.1365	29.31	42.98	2.87	4.39	7.32
35	-2	0.1448	30.57	35.74	2.66	4.19	7.16
40	-2	0.1535	31.82	27.93	2.42	3.96	6.97
45	-2	0.1624	33.01	19.87	2.16	3.7	6.74
50	-2	0.1713	34.06	12.82	1.92	3.47	6.53
55	-2	0.1792	35	6.88	1.71	3.28	6.35
60	-2	0.1866	35.9	2.5	1.53	3.1	6.19
5	0	0.0264	5.21	84.46	4.18	5.14	7.71
6	0	0.0369	7.55	81.79	4.1	5.11	7.7
7	0	0.0509	10.91	77.91	3.97	5.05	7.68
8	0	0.0693	15.19	72.83	3.79	4.95	7.62
9	0	0.0901	19.81	67.25	3.56	4.83	7.51
10	0	0.115	24.94	61.01	3.27	4.65	7.34
12	0	0.1189	25.76	58.62	3.2	4.59	7.29
14	0	0.1205	26.14	56.99	3.16	4.56	7.26
16	0	0.1222	26.53	55.23	3.11	4.51	7.23
18	0	0.124	26.94	53.35	3.07	4.47	7.2
20	0	0.1259	27.36	51.32	3.01	4.42	7.16
25	0	0.1312	28.51	45.62	2.86	4.27	7.05
30	0	0.1391	29.77	38.96	2.67	4.09	6.9
35	0	0.1476	31.04	31.57	2.45	3.87	6.72
40	0	0.1564	32.28	23.74	2.19	3.62	6.5
45	0	0.1653	33.41	15.87	1.92	3.37	6.27
50	0	0.1733	34.38	9.76	1.71	3.16	6.08
55	0	0.1819	35.4	3.84	1.49	2.95	5.89
60	0	0.1875	36.15	1.29	1.35	2.82	5.77
5	2	0.0341	7.2	80.11	4.04	4.96	7.43
6	2	0.048	10.54	76.26	3.91	4.88	7.39
7	2	0.0639	14.06	72.09	3.75	4.81	7.33
8	2	0.0836	18.43	66.83	3.53	4.69	7.22
9	2	0.1056	22.96	61.32	3.27	4.52	7.06
10	2	0.1181	25.56	57.57	3.11	4.4	6.96
12	2	0.1198	25.95	55.92	3.06	4.36	6.92
14	2	0.1216	26.35	54.15	3.02	4.32	6.89
16	2	0.1234	26.77	52.25	2.97	4.27	6.85
18	2	0.1254	27.22	50.22	2.91	4.22	6.81
20	2	0.1275	27.68	48.04	2.85	4.16	6.77
25	2	0.1333	28.89	41.99	2.68	3.99	6.63
30	2	0.1416	30.2	35.04	2.47	3.78	6.47
35	2	0.1502	31.46	27.57	2.23	3.55	6.27
40	2	0.159	32.65	19.81	1.97	3.3	6.04
45	2	0.1674	33.74	12.62	1.71	3.05	5.81
50	2	0.1753	34.7	6.69	1.5	2.85	5.63
55	2	0.1827	35.63	2.24	1.31	2.66	5.46
60	2	0.1883	36.39	0.53	1.18	2.54	5.35
5	4	0.0418	9.26	75.68	3.89	4.75	7.12
6	4	0.0569	12.58	71.76	3.73	4.67	7.05
7	4	0.075	16.62	66.94	3.53	4.56	6.95
8	4	0.0978	21.34	61.24	3.26	4.39	6.79
9	4	0.118	25.5	55.85	3	4.2	6.61
10	4	0.1189	25.71	55	2.97	4.18	6.59
12	4	0.1207	26.13	53.21	2.92	4.13	6.56
14	4	0.1227	26.57	51.31	2.87	4.08	6.52
16	4	0.1247	27.02	49.27	2.81	4.02	6.47
18	4	0.1269	27.5	47.09	2.75	3.96	6.43
20	4	0.1292	27.99	44.77	2.68	3.9	6.37
25	4	0.1355	29.27	38.38	2.49	3.7	6.22
30	4	0.144	30.6	31.21	2.26	3.48	6.03
35	4	0.1527	31.87	23.62	2.01	3.23	5.81
40	4	0.1616	33.01	15.98	1.74	2.97	5.57
45	4	0.1693	34.04	9.61	1.51	2.74	5.37
50	4	0.1772	35.03	3.62	1.29	2.53	5.17
55	4	0.1835	35.87	1.09	1.14	2.38	5.04
60	4	0.1883	36.57	0.11	1.03	2.27	4.94
5	6	0.0484	10.82	71.79	3.74	4.56	6.79
6	6	0.0637	14.14	67.85	3.57	4.46	6.71
7	6	0.0854	18.77	62.29	3.31	4.3	6.55
8	6	0.107	23.2	56.9	3.04	4.11	6.37
9	6	0.1187	25.64	53.33	2.87	3.98	6.25
10	6	0.1197	25.86	52.42	2.84	3.95	6.23
12	6	0.1217	26.32	50.5	2.78	3.9	6.19
14	6	0.1238	26.78	48.46	2.72	3.84	6.14
16	6	0.126	27.27	46.27	2.66	3.77	6.09
18	6	0.1284	27.78	43.96	2.59	3.7	6.03
20	6	0.1308	28.29	41.51	2.51	3.63	5.97
25	6	0.1376	29.63	34.81	2.3	3.41	5.8
30	6	0.1463	30.98	27.47	2.05	3.17	5.59
35	6	0.1551	32.2	19.92	1.79	2.91	5.36
40	6	0.1638	33.34	12.55	1.52	2.65	5.11
45	6	0.1711	34.34	6.57	1.3	2.43	4.92
50	6	0.1785	35.29	2.02	1.11	2.24	4.74
55	6	0.1842	36.1	0.4	0.97	2.11	4.63
60	6	0.1884	36.75	0	0.88	2.01	4.54
5	8	0.0546	12.19	68.11	3.59	4.36	6.46
6	8	0.0718	15.94	63.65	3.38	4.23	6.33
7	8	0.0942	20.57	58.07	3.1	4.04	6.15
8	8	0.1182	25.52	51.86	2.77	3.78	5.91
9	8	0.1194	25.78	50.81	2.73	3.75	5.89
10	8	0.1205	26.02	49.83	2.71	3.72	5.86
12	8	0.1226	26.5	47.78	2.64	3.66	5.81
14	8	0.1249	27.01	45.59	2.58	3.59	5.76
16	8	0.1274	27.52	43.28	2.5	3.52	5.7
18	8	0.1299	28.05	40.83	2.42	3.44	5.64
20	8	0.1325	28.59	38.26	2.34	3.36	5.57
25	8	0.1396	29.98	31.31	2.11	3.12	5.37
30	8	0.1485	31.33	23.84	1.85	2.86	5.14
35	8	0.1575	32.54	16.21	1.57	2.59	4.9
40	8	0.1655	33.61	9.58	1.32	2.35	4.67
45	8	0.173	34.65	3.52	1.09	2.12	4.47
50	8	0.1793	35.51	0.9	0.94	1.96	4.32
55	8	0.1846	36.29	0	0.82	1.85	4.22
60	8	0.1886	36.95	0	0.73	1.75	4.14
5	10	0.0608	13.6	64.39	3.43	4.14	6.11
6	10	0.0804	17.7	59.48	3.18	3.98	5.95
7	10	0.1042	22.61	53.55	2.86	3.74	5.72
8	10	0.119	25.68	49.29	2.63	3.56	5.55
9	10	0.1201	25.92	48.29	2.6	3.53	5.52
10	10	0.1212	26.17	47.25	2.57	3.49	5.5
12	10	0.1236	26.69	45.06	2.5	3.42	5.44
14	10	0.1261	27.23	42.74	2.42	3.35	5.38
16	10	0.1287	27.77	40.28	2.34	3.26	5.31
18	10	0.1314	28.33	37.7	2.26	3.18	5.24
20	10	0.1342	28.89	35.02	2.17	3.08	5.16
25	10	0.1417	30.32	27.81	1.91	2.83	4.94
30	10	0.1507	31.66	20.22	1.64	2.55	4.7
35	10	0.1597	32.85	12.66	1.35	2.27	4.44
40	10	0.1673	33.9	6.58	1.12	2.04	4.23
45	10	0.1743	34.89	1.83	0.92	1.84	4.04
50	10	0.1799	35.72	0.29	0.78	1.7	3.92
55	10	0.1847	36.47	0	0.68	1.59	3.83
60	10	0.1885	37.12	0	0.59	1.5	3.75
5	12	0.0675	15.03	60.64	3.25	3.92	5.74
6	12	0.0864	18.92	55.95	3	3.74	5.57
7	12	0.1112	24.04	49.79	2.65	3.46	5.3
8	12	0.1197	25.8	46.81	2.5	3.33	5.19
9	12	0.1208	26.07	45.75	2.47	3.3	5.16
10	12	0.1221	26.33	44.64	2.43	3.26	5.13
12	12	0.1246	26.89	42.32	2.35	3.18	5.07
14	12	0.1273	27.45	39.86	2.27	3.1	5
16	12	0.13	28.02	37.29	2.18	3.01	4.92
18	12	0.133	28.61	34.56	2.09	2.91	4.84
20	12	0.136	29.2	31.75	1.99	2.81	4.75
25	12	0.1439	30.67	24.3	1.71	2.53	4.51
30	12	0.1527	31.95	16.75	1.43	2.24	4.25
35	12	0.1614	33.11	9.71	1.16	1.98	4.01
40	12	0.1691	34.19	3.55	0.92	1.74	3.79
45	12	0.1752	35.1	0.74	0.75	1.57	3.63
50	12	0.1807	35.94	0	0.63	1.44	3.52
55	12	0.1849	36.65	0	0.53	1.34	3.43
60	12	0.1893	37.3	0	0.45	1.25	3.36
5	-12	0.0278	5.49	94.53	4.58	6	9.4
6	-12	0.0373	7.52	91.93	4.55	6.02	9.44
7	-12	0.0446	9.06	90.32	4.51	6.04	9.45
8	-12	0.0478	9.63	90.04	4.49	6.04	9.45
9	-12	0.051	10.17	89.87	4.48	6.04	9.45
10	-12	0.0686	14.39	85.99	4.35	6.02	9.48
12	-12	0.0733	15.01	85.45	4.33	6.03	9.47
14	-12	0.1144	24.93	73.5	3.95	5.9	9.4
16	-12	0.118	25.74	70.43	3.9	5.85	9.39
18	-12	0.1192	26.04	69.06	3.87	5.84	9.38
20	-12	0.1205	26.36	67.56	3.85	5.81	9.37
25	-12	0.1241	27.18	63.3	3.77	5.75	9.33
30	-12	0.13	28.18	57.98	3.67	5.66	9.27
35	-12	0.1375	29.33	51.47	3.53	5.54	9.19
40	-12	0.1461	30.6	43.8	3.35	5.38	9.06
45	-12	0.1551	31.88	35.45	3.14	5.18	8.9
50	-12	0.1652	33.17	26.71	2.88	4.94	8.7
55	-12	0.1753	34.28	18.46	2.61	4.69	8.48
60	-12	0.1838	35.25	12.38	2.41	4.51	8.31
5	-10	0.0329	6.71	91.17	4.49	5.86	9.14
6	-10	0.0386	7.85	90.1	4.46	5.87	9.15
7	-10	0.0415	8.35	89.94	4.45	5.87	9.15
8	-10	0.0456	9.13	89.66	4.42	5.87	9.15
9	-10	0.0651	13.88	84.53	4.28	5.84	9.18
10	-10	0.0615	12.58	86.19	4.32	5.87	9.16
12	-10	0.1021	22.36	74.46	3.95	5.74	9.12
14	-10	0.118	25.68	68.86	3.79	5.65	9.05
16	-10	0.1193	25.99	67.45	3.76	5.63	9.04
18	-10	0.1206	26.31	65.94	3.73	5.61	9.02
20	-10	0.1221	26.64	64.3	3.7	5.58	9.01
25	-10	0.1263	27.59	59.54	3.61	5.5	8.95
30	-10	0.1329	28.69	53.73	3.49	5.39	8.88
35	-10	0.1408	29.91	46.85	3.33	5.25	8.77
40	-10	0.1495	31.17	39.09	3.13	5.06	8.63
45	-10	0.1586	32.44	30.79	2.9	4.84	8.44
50	-10	0.1682	33.59	22.51	2.64	4.6	8.23
55	-10	0.1777	34.66	15.23	2.4	4.38	8.03
60	-10	0.186	35.63	9.37	2.2	4.19	7.86
5	-8	0.0318	6.49	90.03	4.42	5.71	8.85
6	-8	0.035	7.03	89.85	4.41	5.71	8.85
7	-8	0.0535	11.67	85.01	4.27	5.67	8.89
8	-8	0.0476	9.65	87.5	4.33	5.71	8.86
9	-8	0.0668	14.33	81.99	4.18	5.67	8.88
10	-8	0.0876	19.21	76.12	3.99	5.6	8.84
12	-8	0.1175	25.51	67.66	3.69	5.46	8.71
14	-8	0.1191	25.88	66.05	3.66	5.43	8.7
16	-8	0.1205	26.21	64.51	3.63	5.4	8.68
18	-8	0.1221	26.57	62.83	3.59	5.37	8.66
20	-8	0.1237	26.95	61.01	3.56	5.34	8.64
25	-8	0.1284	28	55.82	3.45	5.24	8.57
30	-8	0.1356	29.16	49.62	3.3	5.11	8.48
35	-8	0.1439	30.43	42.43	3.12	4.94	8.35
40	-8	0.1526	31.68	34.62	2.91	4.74	8.18
45	-8	0.1616	32.89	26.49	2.66	4.51	7.98
50	-8	0.1713	34.01	18.5	2.4	4.27	7.76
55	-8	0.1797	35	12.24	2.19	4.07	7.59
60	-8	0.188	35.97	6.39	1.98	3.88	7.41
5	-6	0.0435	9.67	85.18	4.26	5.52	8.6
6	-6	0.0345	6.92	88.53	4.33	5.56	8.56
7	-6	0.0529	11.48	83.23	4.19	5.51	8.59
8	-6	0.0671	14.69	79.45	4.08	5.48	8.57
9	-6	0.0857	18.89	74.4	3.91	5.42	8.52
10	-6	0.1077	23.44	68.83	3.69	5.32	8.42
12	-6	0.1186	25.71	64.83	3.56	5.23	8.36
14	-6	0.1201	26.07	63.24	3.52	5.2	8.34
16	-6	0.1218	26.45	61.53	3.49	5.17	8.31
18	-6	0.1235	26.85	59.7	3.45	5.14	8.29
20	-6	0.1254	27.27	57.72	3.4	5.1	8.26
25	-6	0.1306	28.39	52.13	3.27	4.98	8.18
30	-6	0.1383	29.63	45.58	3.11	4.82	8.06
35	-6	0.1467	30.9	38.22	2.91	4.63	7.91
40	-6	0.1556	32.16	30.34	2.68	4.41	7.73
45	-6	0.1644	33.28	22.46	2.43	4.18	7.52
50	-6	0.1738	34.39	15.06	2.18	3.95	7.31
55	-6	0.1821	35.38	9.21	1.98	3.75	7.13
60	-6	0.1897	36.3	3.87	1.78	3.57	6.97
5	-4	0.0563	12.58	79.64	4.08	5.34	8.29
6	-4	0.0454	9.91	83.01	4.17	5.37	8.3
7	-4	0.0596	13.1	79.27	4.05	5.33	8.28
8	-4	0.078	17.2	74.35	3.88	5.27	8.22
9	-4	0.1005	21.93	68.63	3.66	5.16	8.12
10	-4	0.1179	25.51	63.75	3.46	5.04	8.02
12	-4	0.1195	25.89	62.14	3.42	5.01	8
14	-4	0.1212	26.29	60.4	3.39	4.97	7.97
16	-4	0.123	26.7	58.55	3.34	4.93	7.94
18	-4	0.125	27.13	56.57	3.3	4.89	7.91
20	-4	0.127	27.58	54.44	3.25	4.84	7.88
25	-4	0.1327	28.77	48.49	3.1	4.7	7.78
30	-4	0.1408	30.06	41.63	2.91	4.53	7.64
35	-4	0.1494	31.34	34.14	2.7	4.32	7.47
40	-4	0.1583	32.54	26.38	2.46	4.09	7.27
45	-4	0.1671	33.67	18.6	2.2	3.85	7.05
50	-4	0.1757	34.7	12.1	1.97	3.64	6.86
55	-4	0.184	35.71	6.23	1.77	3.44	6.68
60	-4	0.1907	36.56	2.3	1.59	3.27	6.54
5	-2	0.0391	8.6	82.47	4.14	5.22	8.01
6	-2	0.0533	11.78	78.75	4.02	5.18	7.99
7	-2	0.0688	15.19	74.69	3.88	5.13	7.94
8	-2	0.0907	19.88	69.04	3.66	5.02	7.84
9	-2	0.1154	24.98	62.84	3.38	4.86	7.69
10	-2	0.1187	25.66	61.18	3.33	4.82	7.66
12	-2	0.1204	26.07	59.43	3.29	4.78	7.63
14	-2	0.1223	26.5	57.57	3.25	4.74	7.6
16	-2	0.1243	26.95	55.57	3.2	4.69	7.57
18	-2	0.1264	27.41	53.44	3.14	4.64	7.53
20	-2	0.1287	27.89	51.16	3.09	4.59	7.49
25	-2	0.1348	29.15	44.87	2.92	4.43	7.37
30	-2	0.1433	30.48	37.75	2.71	4.23	7.21
35	-2	0.152	31.75	30.19	2.48	4.01	7.03
40	-2	0.1609	32.92	22.48	2.23	3.77	6.81
45	-2	0.1699	34.06	14.95	1.97	3.52	6.59
50	-2	0.1776	35.02	9.12	1.77	3.32	6.41
55	-2	0.1856	36.02	3.64	1.56	3.13	6.23
60	-2	0.1914	36.81	1.22	1.42	2.99	6.11
5	0	0.0464	10.37	78.34	4	5.04	7.7
6	0	0.0621	13.78	74.3	3.85	4.98	7.65
7	0	0.0817	18.01	69.23	3.65	4.88	7.56
8	0	0.1039	22.57	63.71	3.41	4.74	7.42
9	0	0.1185	25.6	59.49	3.22	4.61	7.31
10	0	0.1194	25.81	58.6	3.2	4.59	7.3
12	0	0.1214	26.26	56.72	3.15	4.55	7.26
14	0	0.1234	26.72	54.72	3.1	4.5	7.23
16	0	0.1256	27.2	52.58	3.05	4.45	7.19
18	0	0.1279	27.69	50.31	2.99	4.39	7.15
20	0	0.1303	28.19	47.9	2.92	4.32	7.1
25	0	0.1369	29.52	41.28	2.73	4.14	6.96
30	0	0.1456	30.87	34	2.51	3.93	6.78
35	0	0.1545	32.11	26.4	2.27	3.69	6.58
40	0	0.1633	33.26	18.79	2.01	3.45	6.35
45	0	0.1717	34.35	12.01	1.77	3.21	6.14
50	0	0.1795	35.34	6.13	1.56	3.01	5.96
55	0	0.187	36.31	2.03	1.37	2.83	5.8
60	0	0.1921	37.05	0.5	1.25	2.71	5.69
5	2	0.0521	11.64	74.78	3.86	4.86	7.38
6	2	0.0681	15.14	70.63	3.7	4.78	7.31
7	2	0.0904	19.79	65.03	3.46	4.64	7.18
8	2	0.1132	24.48	59.32	3.18	4.46	7.01
9	2	0.1192	25.74	56.97	3.09	4.39	6.95
10	2	0.1202	25.97	56.01	3.07	4.36	6.93
12	2	0.1223	26.45	54	3.01	4.31	6.89
14	2	0.1246	26.94	51.86	2.96	4.26	6.85
16	2	0.1269	27.45	49.59	2.89	4.2	6.81
18	2	0.1294	27.97	47.18	2.83	4.13	6.76
20	2	0.132	28.5	44.65	2.75	4.06	6.7
25	2	0.139	29.88	37.75	2.54	3.85	6.54
30	2	0.1479	31.23	30.31	2.31	3.62	6.34
35	2	0.1568	32.44	22.72	2.06	3.38	6.12
40	2	0.1658	33.62	15.09	1.78	3.12	5.88
45	2	0.1735	34.66	9.04	1.56	2.9	5.69
50	2	0.1815	35.67	3.44	1.35	2.7	5.5
55	2	0.1877	36.54	1	1.2	2.55	5.37
60	2	0.1928	37.3	0.06	1.09	2.44	5.28
5	4	0.0584	13.04	71.07	3.71	4.66	7.05
6	4	0.0764	16.89	66.47	3.52	4.55	6.94
7	4	0.1002	21.79	60.57	3.23	4.37	6.77
8	4	0.1188	25.63	55.44	2.99	4.19	6.61
9	4	0.1199	25.88	54.44	2.96	4.16	6.59
10	4	0.121	26.13	53.41	2.93	4.14	6.57
12	4	0.1233	26.64	51.27	2.87	4.08	6.52
14	4	0.1257	27.16	48.99	2.81	4.01	6.47
16	4	0.1283	27.7	46.58	2.74	3.94	6.42
18	4	0.1309	28.24	44.05	2.66	3.87	6.36
20	4	0.1337	28.8	41.39	2.58	3.79	6.3
25	4	0.1411	30.23	34.24	2.35	3.56	6.11
30	4	0.1501	31.57	26.68	2.1	3.32	5.9
35	4	0.1591	32.76	19.1	1.84	3.06	5.67
40	4	0.1676	33.91	12.04	1.58	2.81	5.44
45	4	0.1754	34.96	6.05	1.36	2.59	5.24
50	4	0.1824	35.9	1.83	1.17	2.41	5.07
55	4	0.188	36.73	0.37	1.04	2.28	4.96
60	4	0.1928	37.47	0	0.93	2.17	4.87
5	6	0.0644	14.39	67.42	3.56	4.45	6.7
6	6	0.0848	18.6	62.38	3.32	4.31	6.56
7	6	0.1088	23.54	56.39	3.02	4.09	6.36
8	6	0.1195	25.76	52.96	2.86	3.97	6.24
9	6	0.1206	26.02	51.9	2.83	3.94	6.22
10	6	0.1218	26.29	50.81	2.79	3.9	6.2
12	6	0.1243	26.83	48.53	2.73	3.84	6.15
14	6	0.1269	27.39	46.11	2.65	3.76	6.09
16	6	0.1296	27.95	43.58	2.58	3.69	6.03
18	6	0.1325	28.52	40.91	2.49	3.6	5.96
20	6	0.1354	29.11	38.12	2.4	3.51	5.89
25	6	0.1433	30.57	30.74	2.16	3.27	5.68
30	6	0.1522	31.87	23.17	1.9	3.01	5.45
35	6	0.1614	33.09	15.54	1.62	2.74	5.21
40	6	0.1693	34.18	9.12	1.38	2.51	4.99
45	6	0.1772	35.26	3.28	1.15	2.28	4.79
50	6	0.1836	36.18	0.81	1	2.12	4.65
55	6	0.1886	36.95	0	0.88	2.01	4.55
60	6	0.1926	37.64	0	0.78	1.91	4.47
5	8	0.0712	15.8	63.7	3.39	4.23	6.34
6	8	0.093	20.28	58.31	3.12	4.05	6.17
7	8	0.1178	25.39	52.11	2.78	3.79	5.92
8	8	0.1201	25.9	50.46	2.73	3.74	5.88
9	8	0.1214	26.17	49.34	2.69	3.71	5.86
10	8	0.1227	26.45	48.18	2.66	3.67	5.83
12	8	0.1253	27.03	45.77	2.58	3.6	5.77
14	8	0.1281	27.61	43.22	2.5	3.51	5.7
16	8	0.131	28.2	40.56	2.41	3.43	5.63
18	8	0.1341	28.8	37.77	2.32	3.33	5.56
20	8	0.1372	29.41	34.87	2.23	3.24	5.48
25	8	0.1453	30.89	27.3	1.96	2.97	5.25
30	8	0.1542	32.16	19.68	1.69	2.7	5.01
35	8	0.1633	33.38	12.26	1.41	2.43	4.75
40	8	0.171	34.47	6.14	1.18	2.2	4.55
45	8	0.1781	35.48	1.65	0.98	2	4.36
50	8	0.1839	36.36	0.25	0.84	1.86	4.24
55	8	0.1885	37.11	0	0.73	1.75	4.15
60	8	0.1932	37.86	0	0.64	1.65	4.06
5	10	0.077	16.98	60.24	3.22	4.01	5.98
6	10	0.0984	21.37	54.93	2.94	3.8	5.78
7	10	0.1195	25.73	49.15	2.63	3.55	5.55
8	10	0.1208	26.03	47.96	2.59	3.51	5.52
9	10	0.1222	26.32	46.77	2.55	3.48	5.49
10	10	0.1236	26.62	45.55	2.52	3.44	5.46
12	10	0.1264	27.23	42.99	2.43	3.35	5.39
14	10	0.1294	27.84	40.32	2.34	3.26	5.32
16	10	0.1325	28.46	37.53	2.25	3.17	5.24
18	10	0.1357	29.08	34.63	2.15	3.06	5.15
20	10	0.139	29.71	31.62	2.04	2.96	5.06
25	10	0.1474	31.2	23.89	1.76	2.67	4.82
30	10	0.1563	32.45	16.27	1.48	2.39	4.56
35	10	0.1649	33.64	9.35	1.22	2.13	4.32
40	10	0.1728	34.76	3.13	0.97	1.89	4.1
45	10	0.1789	35.69	0.67	0.81	1.72	3.95
50	10	0.1842	36.55	0	0.69	1.6	3.84
55	10	0.1899	37.32	0	0.59	1.49	3.75
60	10	0.196	37.98	0	0.5	1.4	3.67
5	12	0.0829	18.18	56.77	3.05	3.77	5.61
6	12	0.1072	23.19	50.72	2.71	3.51	5.35
